player,team,fgp3,fgp3_nba_range,fga3,fga3_nba_range
Tyree Crump,Georgia,0.36094674556213017751,0.38317757009345794393,169,107
Daniel Hamilton,Connecticut,0.33948339483394833948,0.38317757009345794393,271,107
Kendrick Nunn,Oakland,0.38063063063063063063,0.38317757009345794393,444,214
Luke Kennard,Duke,0.38440860215053763441,0.38311688311688311688,372,154
Lonnie Jackson,Boise State,0.37827715355805243446,0.38211382113821138211,267,123
Davell Roby,Saint Louis,0.36334405144694533762,0.38194444444444444444,311,144
Ky Bowman,Boston College,0.41065830721003134796,0.38095238095238095238,319,147
Cameron Johnson,North Carolina,0.37712895377128953771,0.38095238095238095238,411,231
Jalen Brunson,Villanova,0.39675174013921113689,0.38020833333333333333,431,192
Jonah Mathews,USC,0.37349397590361445783,0.38016528925619834711,249,121
Marcus Foster,Creighton,0.37046632124352331606,0.38006230529595015576,772,321
KT Harrell,Auburn,0.40810810810810810811,0.38000000000000000000,370,150
Myles Davis,Xavier,0.36244541484716157205,0.37974683544303797468,458,237
George King,Colorado,0.40731707317073170732,0.37888198757763975155,410,161
Tre Demps,Northwestern,0.36261261261261261261,0.37888198757763975155,444,161
Hayden Dalton,Wyoming,0.37454545454545454545,0.37857142857142857143,275,140
JeQuan Lewis,Virginia Commonwealth,0.37007874015748031496,0.37853107344632768362,381,177
Olaf Schaftenaar,Oregon State,0.36363636363636363636,0.37837837837837837838,253,111
Jaire Grayer,George Mason,0.36111111111111111111,0.37795275590551181102,252,127
Paul Jesperson,Northern Iowa,0.38376383763837638376,0.37735849056603773585,271,106
Michael Finke,Illinois,0.36742424242424242424,0.37681159420289855072,264,138
Jalen Lindsey,Providence,0.37412587412587412587,0.37656903765690376569,572,239
Jason McManamen,Wyoming,0.38861386138613861386,0.37569060773480662983,404,181
Joel Berry II,North Carolina,0.36791147994467496542,0.37564766839378238342,723,386
Allerik Freeman,North Carolina State,0.37837837837837837838,0.37563451776649746193,444,197
Chris Jones,Louisville,0.36322869955156950673,0.37500000000000000000,223,104
Isaiah Whitehead,Seton Hall,0.36111111111111111111,0.37500000000000000000,324,192
Nick Zeisloft,Indiana,0.42356687898089171975,0.37500000000000000000,314,152
Wayne Blackshear,Louisville,0.35958904109589041096,0.37500000000000000000,292,112
Adonys Henriquez,UCF,0.37050359712230215827,0.37500000000000000000,278,128
Matthew Fisher-Davis,Vanderbilt,0.39028475711892797320,0.37455830388692579505,597,283
Steven Haney,Loyola Marymount,0.36567164179104477612,0.37435897435897435897,402,195
Evan Fitzner,Saint Mary's,0.41549295774647887324,0.37398373983739837398,284,123
Anthony Lawrence Jr.,Miami (FL),0.39631336405529953917,0.37391304347826086957,217,115
Jacob Evans III,Cincinnati,0.37772925764192139738,0.37391304347826086957,458,230
Obi Enechionyia,Temple,0.36247334754797441365,0.37383177570093457944,469,214
Conner Frankamp,Wichita State,0.38127853881278538813,0.37349397590361445783,438,249
Jarrod Uthoff,Iowa,0.38709677419354838710,0.37313432835820895522,341,134
Dylan Ennis,Oregon,0.34693877551020408163,0.37297297297297297297,392,185
Jordan Sibert,Dayton,0.38620689655172413793,0.37288135593220338983,290,118
Justin Jackson,North Carolina,0.34291581108829568789,0.37272727272727272727,487,220
Jordan McLaughlin,USC,0.38043478260869565217,0.37254901960784313725,460,204
Josh Newkirk,Indiana,0.34563758389261744966,0.37241379310344827586,298,145
Kenrich Williams,TCU,0.37288135593220338983,0.37209302325581395349,236,129
James Bolden,West Virginia,0.42028985507246376812,0.37209302325581395349,207,129
Jake Layman,Maryland,0.37914691943127962085,0.37195121951219512195,422,164
Trae Young,Oklahoma,0.36102236421725239617,0.37190082644628099174,313,242
Kevin Huerter,Maryland,0.40378548895899053628,0.37185929648241206030,317,199
Elijah Brown,Oregon,0.35795454545454545455,0.37171052631578947368,704,304
Charles Cooke,Dayton,0.39631336405529953917,0.37142857142857142857,217,105
