distance_bucket,defender_range,fgm,fga,fg2m,fg2a,fg3m,fg3a,fgp,pps
20,0-2 feet,207,596,207,596,0,0,0.34731543624161076,0.6946308724832215
20,2-4 feet,2104,5949,2104,5949,0,0,0.3536728861993612,0.7073457723987224
20,4-6 feet,4940,12571,4940,12571,0,0,0.3929679420889349,0.7859358841778697
20,6+ feet,3643,8625,3643,8625,0,0,0.42237681159420287,0.8447536231884057
21,0-2 feet,121,376,121,376,0,0,0.32180851063829785,0.6436170212765957
21,2-4 feet,1300,3803,1300,3803,0,0,0.3418353931107021,0.6836707862214042
21,4-6 feet,3357,8590,3357,8590,0,0,0.39080325960419093,0.7816065192083819
21,6+ feet,2465,5914,2465,5914,0,0,0.4168075752451809,0.8336151504903618
22,0-2 feet,408,1342,64,228,344,1114,0.30402384500745155,0.8643815201192251
22,2-4 feet,2292,7117,540,1803,1752,5314,0.3220458058170578,0.8902627511591963
22,4-6 feet,6989,18636,1540,4293,5449,14343,0.3750268297918008,1.0424447306288904
22,6+ feet,13259,32044,1119,2752,12140,29292,0.41377480963674945,1.2064036949194856
23,0-2 feet,266,1073,34,183,232,890,0.2479030754892824,0.712022367194781
23,2-4 feet,2189,7047,401,1487,1788,5560,0.3106286362991344,0.874982261955442
23,4-6 feet,6172,17378,1111,3304,5061,14074,0.35516169869950515,1.0015536885717573
23,6+ feet,9850,24540,1058,2920,8792,21620,0.4013854930725346,1.161043194784026
24,0-2 feet,305,1076,0,0,305,1076,0.28345724907063197,0.8503717472118959
24,2-4 feet,3727,11656,0,0,3727,11656,0.3197494852436513,0.959248455730954
24,4-6 feet,13369,37782,0,0,13369,37782,0.3538457466518448,1.0615372399555343
24,6+ feet,23141,59578,0,0,23141,59578,0.3884151868139246,1.1652455604417737
25,0-2 feet,141,591,0,0,141,591,0.23857868020304568,0.7157360406091371
25,2-4 feet,2375,7758,0,0,2375,7758,0.30613560195926787,0.9184068058778035
25,4-6 feet,8904,25724,0,0,8904,25724,0.3461359042139636,1.038407712641891
25,6+ feet,11216,29848,0,0,11216,29848,0.37577057089252214,1.1273117126775662
26,0-2 feet,56,247,0,0,56,247,0.22672064777327935,0.680161943319838
26,2-4 feet,887,3248,0,0,887,3248,0.2730911330049261,0.8192733990147784
26,4-6 feet,3488,10522,0,0,3488,10522,0.33149591332446304,0.9944877399733891
26,6+ feet,3482,9356,0,0,3482,9356,0.3721675929884566,1.1165027789653699
27,0-2 feet,20,124,0,0,20,124,0.16129032258064516,0.4838709677419355
27,2-4 feet,395,1539,0,0,395,1539,0.2566601689408707,0.7699805068226121
27,4-6 feet,1476,4586,0,0,1476,4586,0.3218491059747056,0.9655473179241169
27,6+ feet,1203,3506,0,0,1203,3506,0.34312606959498004,1.0293782087849401
28,0-2 feet,9,74,0,0,9,74,0.12162162162162163,0.36486486486486486
28,2-4 feet,165,789,0,0,165,789,0.20912547528517111,0.6273764258555133
28,4-6 feet,563,2031,0,0,563,2031,0.2772033481043821,0.8316100443131462
28,6+ feet,443,1405,0,0,443,1405,0.31530249110320285,0.9459074733096086
29,0-2 feet,3,33,0,0,3,33,0.09090909090909091,0.2727272727272727
29,2-4 feet,72,372,0,0,72,372,0.1935483870967742,0.5806451612903226
29,4-6 feet,236,934,0,0,236,934,0.25267665952890794,0.7580299785867237
29,6+ feet,180,606,0,0,180,606,0.297029702970297,0.8910891089108911
30,0-2 feet,1,28,0,0,1,28,0.03571428571428571,0.10714285714285714
30,2-4 feet,36,236,0,0,36,236,0.15254237288135594,0.4576271186440678
30,4-6 feet,95,426,0,0,95,426,0.22300469483568075,0.6690140845070423
30,6+ feet,82,285,0,0,82,285,0.28771929824561404,0.8631578947368421
